id,title,description,price,product_type,category,occasion,subcategory,color,image_url,occassion,combined_features
28477,Urban Yoga Women Printed Purple Kurta,"Urban Yoga Women Printed Purple Kurta — Kurtas, Purple, Ethnic",334,kurti,womenswear,festival,topwear,Purple,http://assets.myntassets.com/v1/images/style/properties/8485f585f82c980144429e3fbadccab4_images.jpg,,"Urban Yoga Women Printed Purple Kurta Urban Yoga Women Printed Purple Kurta — Kurtas, Purple, Ethnic womenswear topwear Purple kurti"
12532,Puma Women Solid Black Jackets,"Puma Women Solid Black Jackets — Jackets, Black, Casual",406,jacket,womenswear,,topwear,Black,http://assets.myntassets.com/v1/images/style/properties/0bf90e10c420094757095e91511f061e_images.jpg,casual,"Puma Women Solid Black Jackets Puma Women Solid Black Jackets — Jackets, Black, Casual womenswear topwear Black jacket"
9966,Nike Women As Statement White T-Shirts,"Nike Women As Statement White T-Shirts — Tshirts, White, Sports",565,jeans,womenswear,,topwear,White,http://assets.myntassets.com/v1/images/style/properties/56b1402e1f467eaddec5e140e77509d4_images.jpg,party,"Nike Women As Statement White T-Shirts Nike Women As Statement White T-Shirts — Tshirts, White, Sports womenswear topwear White jeans"
58208,New Hide Men Brown Belt,"New Hide Men Brown Belt — Belts, Brown, Casual",197,belt,menswear,,belts,Brown,http://assets.myntassets.com/v1/images/style/properties/New-Hide-Men-Brown-Belt_5eca6f9e133fc8c2acae2ffb11c389f8_images.jpg,casual,"New Hide Men Brown Belt New Hide Men Brown Belt — Belts, Brown, Casual menswear belts Brown belt"
30591,Nike Unisex Federer Blue Cap,"Nike Unisex Federer Blue Cap — Caps, Blue, Sports",354,cap,menswear,,headwear,Blue,http://assets.myntassets.com/v1/images/style/properties/9f3dbe56179ba89ce712d63d2866f3df_images.jpg,casual,"Nike Unisex Federer Blue Cap Nike Unisex Federer Blue Cap — Caps, Blue, Sports menswear headwear Blue cap"
31221,Puma Women Black Capris,"Puma Women Black Capris — Capris, Black, Casual",399,jeans,womenswear,,bottomwear,Black,http://assets.myntassets.com/v1/images/style/properties/e33337627de45a6df76c963592eb778b_images.jpg,casual,"Puma Women Black Capris Puma Women Black Capris — Capris, Black, Casual womenswear bottomwear Black jeans"
43065,Nike Men Grey Striped T-shirt,"Nike Men Grey Striped T-shirt — Tshirts, Grey, Casual",406,shirt,menswear,,topwear,White,http://assets.myntassets.com/v1/images/style/properties/8ef6b29dbd52a1bf5e5674dd6ccff1a9_images.jpg,casual,"Nike Men Grey Striped T-shirt Nike Men Grey Striped T-shirt — Tshirts, Grey, Casual menswear topwear White shirt"
12346,Samsung Galaxy A36 5G,"Samsung Galaxy A36 5G — Smartphone, Black, Casual",33499,smartphones,smartphone,casual,smartphone,Black,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTJmTD1rXYLL5Z-oy964_pw7_a5AfTZeP5R-UX7WBPI8Q6U8BJMske3sadWKpqh-kxsuI7Rczuzpyhw47k2lugvw6kDEstTGjlbVCeN2ACmd-gcSdNYcJog,,"Samsung Galaxy A36 5G Samsung Galaxy A36 5G — Smartphone, Black, Casual smartphone smartphone Black smartphones"
12345,Samsung Galaxy A36 5G,"Samsung Galaxy A36 5G — Smartphone, Black, Casual",33499,smartphones,mobile,casual,smartphone,Black,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTJmTD1rXYLL5Z-oy964_pw7_a5AfTZeP5R-UX7WBPI8Q6U8BJMske3sadWKpqh-kxsuI7Rczuzpyhw47k2lugvw6kDEstTGjlbVCeN2ACmd-gcSdNYcJog,,"Samsung Galaxy A36 5G Samsung Galaxy A36 5G — Smartphone, Black, Casual mobile smartphone Black smartphones"
2001,iPhone 17 Pro Max,iPhone 17 Pro Max — 17.4 cm (6.9″) display,149900,mobile,mobile,casual,,Orange,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17-pro-finish-select-202509-6-9inch-cosmicorange?wid=5120&hei=2880&fmt=webp&qlt=90&.v=NUNzdzNKR0FJbmhKWm5YamRHb05tUzkyK3hWak1ybHhtWDkwUXVINFc0RnVrUzFnTVVSUnNLVnZUWUMxNTBGaGhsQTdPYWVGbmdIenAvNE9qYmZVYVFDb1F2RTNvUEVHRkpGaGtOSVFHak5NTEhXRE11VU1QNVo2eDJsWlpuWHQyaWthYXpzcEpXMExJLy9GTE9wWkNn&traceId=1,,iPhone 17 Pro Max iPhone 17 Pro Max — 17.4 cm (6.9″) display mobile  Orange mobile
2002,iPhone 17 Pro Max,iPhone 17 Pro Max — 17.4 cm (6.9″) display,149900,smartphone,smartphones,casual,smartphone,Orange,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17-pro-finish-select-202509-6-9inch-cosmicorange?wid=5120&hei=2880&fmt=webp&qlt=90&.v=NUNzdzNKR0FJbmhKWm5YamRHb05tUzkyK3hWak1ybHhtWDkwUXVINFc0RnVrUzFnTVVSUnNLVnZUWUMxNTBGaGhsQTdPYWVGbmdIenAvNE9qYmZVYVFDb1F2RTNvUEVHRkpGaGtOSVFHak5NTEhXRE11VU1QNVo2eDJsWlpuWHQyaWthYXpzcEpXMExJLy9GTE9wWkNn&traceId=1,,iPhone 17 Pro Max iPhone 17 Pro Max — 17.4 cm (6.9″) display smartphones smartphone Orange smartphone
3003,Pixel 10,"Pixel 10 — Blue, Smartphone",79999,smartphone,smartphones,casual,smartphone,Blue,https://lh3.googleusercontent.com/GN2vZXzEo3e8zC2gw3I63LxE8tN78jWTAkaDOEFmHtpxWewevHzWkgY369JbL74DwTgByjrBTobrldx5AowHApn2dFVLIxg-PO0=s6000-w6000-e365-rw-v0-nu,,"Pixel 10 Pixel 10 — Blue, Smartphone smartphones smartphone Blue smartphone"
4001,Google Pixel 8a 5G,"Google Pixel 8a 5G — 8GB RAM, 128GB, Obsidian",37999,mobile,mobile,casual,,Obsidian,https://media-ik.croma.com/prod/https://media.tatacroma.com/Croma%20Assets/Communication/Mobiles/Images/309156_0_bv3k1x.png?tr=w-1000,,"Google Pixel 8a 5G Google Pixel 8a 5G — 8GB RAM, 128GB, Obsidian mobile  Obsidian mobile"
5001,Google Pixel 9a 5G,"Google Pixel 9a 5G — 8GB RAM, 256GB, Obsidian",49999,mobile,mobile,casual,,Obsidian,https://media-ik.croma.com/prod/https://media.tatacroma.com/Croma%20Assets/Communication/Mobiles/Images/314881_0_wp8tuj.png?tr=w-1000,,"Google Pixel 9a 5G Google Pixel 9a 5G — 8GB RAM, 256GB, Obsidian mobile  Obsidian mobile"
6001,TREEWING Pooja Decoration Items for Home Decor,"TREEWING Pooja Decoration Items for Home Decor with LED Lights, Handmade Lotus, Backdrop Net Curtain with Ribbons, Self-Adhesive Hook",649,,puja_decor,Festival,,Multicolor,https://m.media-amazon.com/images/I/81+pzeFhuOL.jpg,,"TREEWING Pooja Decoration Items for Home Decor TREEWING Pooja Decoration Items for Home Decor with LED Lights, Handmade Lotus, Backdrop Net Curtain with Ribbons, Self-Adhesive Hook puja_decor  Multicolor "
6003,Handmade Lotus Floor Decoration Reusable Rangoli,"Handmade Lotus Floor Decoration Reusable Rangoli for Puja Decor | Tealight Candle Holder | Lotus Diya for Pooja, Festival Decor (7 pcs)",349,,puja_decor,Festival,,Multicolor,"https://m.media-amazon.com/images/I/61rjj3m6XcL._UF894,1000_QL80_.jpg",,"Handmade Lotus Floor Decoration Reusable Rangoli Handmade Lotus Floor Decoration Reusable Rangoli for Puja Decor | Tealight Candle Holder | Lotus Diya for Pooja, Festival Decor (7 pcs) puja_decor  Multicolor "
6004,Aesthetic White Wooden Temple with Spacious Shelf and Inbuilt Focus Light,Aesthetic White Wooden Temple with Spacious Shelf and Inbuilt Focus Light,8999,,home_decor,Festival,,White,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTI1oBpELX8fgwaO7RXbKjpZ0vsLqFOlcm9rjLodxqg4mUvLTJ3HRmj8U6Ewq6O2LGPj4mTJWYc14GtaXmbxW8KWBoXLAgiQZvBQ5jvdAE,,Aesthetic White Wooden Temple with Spacious Shelf and Inbuilt Focus Light Aesthetic White Wooden Temple with Spacious Shelf and Inbuilt Focus Light home_decor  White 
6005,Aesthetic White Wooden Temple with Spacious Shelf and Inbuilt Focus Light,Aesthetic White Wooden Temple with Spacious Shelf and Inbuilt Focus Light,8999,,puja_decor,Festival,,White,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTI1oBpELX8fgwaO7RXbKjpZ0vsLqFOlcm9rjLodxqg4mUvLTJ3HRmj8U6Ewq6O2LGPj4mTJWYc14GtaXmbxW8KWBoXLAgiQZvBQ5jvdAE,,Aesthetic White Wooden Temple with Spacious Shelf and Inbuilt Focus Light Aesthetic White Wooden Temple with Spacious Shelf and Inbuilt Focus Light puja_decor  White 
6006,IKIME Willow Vine Lights LED Tree Branch Light,"IKIME Willow Vine Lights LED Tree Branch Light for Decoration at Home, Bedroom, Wall, Living Room, Plastic",948,,home_decor,Festival,,Multicolor,https://m.media-amazon.com/images/I/61kL0wmw97L._SX679_.jpg,,"IKIME Willow Vine Lights LED Tree Branch Light IKIME Willow Vine Lights LED Tree Branch Light for Decoration at Home, Bedroom, Wall, Living Room, Plastic home_decor  Multicolor "
6008,ULTRA SHINE HOME DECOR Metal Wall Art Mountain with Deer,ULTRA SHINE HOME DECOR Metal Wall Art Mountain with Deer for Living Room (52 * 24 Inches) Wall Decoration | Modern Wall Hanging for Bedroom & Home,2499,,home_decor,Festival,,Multicolor,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT-UTKqp51TaF6IeZfZHk2Eo_N4dJTqsiQPLMLy1v9D1c5uvuza3BlAhQjmEL4EMukOMhHL6160A8RRlTiAqUjkAz1xwnqBAFNLOnaiTFrn,,ULTRA SHINE HOME DECOR Metal Wall Art Mountain with Deer ULTRA SHINE HOME DECOR Metal Wall Art Mountain with Deer for Living Room (52 * 24 Inches) Wall Decoration | Modern Wall Hanging for Bedroom & Home home_decor  Multicolor 
6011,LED Kalash with Meena Leaf Table Lamp (Pack of 2),Illuminate your pooja corner with divine energy using these LED Kalash Table Lamps featuring a traditional Meena Leaf design. This set of 2 offers a soothing multicolor glow and acts as a symbolic representation of prosperity and purity.,199,,puja_decor,Festival,,Multicolor,https://chronoslights.com/cdn/shop/files/led-kalash-table-lamp-pack-of-2.png?v=1756107564&width=5000,,LED Kalash with Meena Leaf Table Lamp (Pack of 2) Illuminate your pooja corner with divine energy using these LED Kalash Table Lamps featuring a traditional Meena Leaf design. This set of 2 offers a soothing multicolor glow and acts as a symbolic representation of prosperity and purity. puja_decor  Multicolor 
6010,LED Kalash with Meena Leaf Table Lamp (Pack of 2),"Add a touch of tradition with a modern glow! These LED Kalash Lamps featuring intricate Meena-style leaf design are ideal for enhancing your home mandir, pooja setup, or festive decor — without fire or wires.",199,,home_decor,Festival,,Multicolor,https://chronoslights.com/cdn/shop/files/led-kalash-table-lamp-pack-of-2.png?v=1756107564&width=5000,,"LED Kalash with Meena Leaf Table Lamp (Pack of 2) Add a touch of tradition with a modern glow! These LED Kalash Lamps featuring intricate Meena-style leaf design are ideal for enhancing your home mandir, pooja setup, or festive decor — without fire or wires. home_decor  Multicolor "
6013,Terracotta Decorative Handpainted Urli with Stand,Terracotta Decorative Handpainted Urli with Stand | Showpiece Vastu Benefit -(Dia - 8 Inch),1499,,puja_decor,Festival,,Terracotta,https://villagedecor.in/cdn/shop/files/Terracotta_Urli_Lifestyle_View_N03PWURULI_WITH_STAND..jpg?v=1751518957&width=800,,Terracotta Decorative Handpainted Urli with Stand Terracotta Decorative Handpainted Urli with Stand | Showpiece Vastu Benefit -(Dia - 8 Inch) puja_decor  Terracotta 
6012,Terracotta Decorative Handpainted Urli with Stand,Terracotta Decorative Handpainted Urli with Stand | Showpiece Vastu Benefit -(Dia - 8 Inch),1499,,home_decor,Festival,,Terracotta,https://villagedecor.in/cdn/shop/files/Terracotta_Urli_Lifestyle_View_N03PWURULI_WITH_STAND..jpg?v=1751518957&width=800,,Terracotta Decorative Handpainted Urli with Stand Terracotta Decorative Handpainted Urli with Stand | Showpiece Vastu Benefit -(Dia - 8 Inch) home_decor  Terracotta 
